Movie,Pedro,Pablo,Arianna,Marcos,Arielle,Gio,Sofia,Moreno,Prisca,Tue,Paula,Letty,James,Osito,Eva,Vanessa,Ginger,Allan,Betty,Denisse,Ian,Ash,Misty,Brock,Tai
Star Wars: Episode IV - A New Hope (1977),,4.5,5,4.5,4,4,,5,4,5,,4,,4,3,4,,4.5,4,3.5,,,,,
Finding Nemo (2003),,5,5,,4,4,4.5,4.5,4,5,,4,5,4.5,,4,,3.5,4,2,3.5,,,,3.5
Forrest Gump (1994),,5,4.5,5,4.5,4.5,,5,4.5,5,5,4.5,4.5,5,3,4,5,3.5,4.5,4.5,4,3.5,4.5,3.5,3.5
American Beauty (1999),,4,,,,,4.5,2,3.5,5,3.5,5,3.5,,4,4,,3.5,4.5,3.5,4,,3.5,,
Pirates of the Caribbean: The Curse of the Black Pearl (2003),4,5,3,4.5,4,2.5,,5,3,4,4,4.5,4,,1,3,1.5,4,4,2.5,3.5,,5,,3.5
Kill Bill: Vol. 1 (2003),3,5,,4,3,3,,0.5,3.5,5,4,4,4,5,5,5,0.5,4,4,4.5,4,5,,5,3
Eternal Sunshine of the Spotless Mind (2004),,5,5,,,,,0.5,4,5,,3,,5,3,,,,4,3,5,1.5,5,5,
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),,3,,,,4,,2.5,3.5,2,,,,,2,,4,4,,3.5,,,,4,5
Memento (2000),,,5,5,,4.5,,3,4.5,3.5,3.5,4,4,,4,,5,4,4,4.5,5,4,,4.5,5
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),,5,,,4.5,,,3,4,5,,4.5,,,5,4,,5,4,4.5,3.5,,,4,3
Gladiator (2000),,3.5,,5,4,4,,4.5,3.5,4,5,3,5,,4,3.5,3.5,5,4,2,4.5,3,4.5,3,4
Back to the Future (1985),4.5,5,5,,,4.5,,5,4,5,,3.5,4,5,5,4,5,3.5,4.5,4.5,4.5,,,,2
Snatch (2000),,,,5,,3.5,,4.5,4,,,,4,,,,3.5,,4,3,2.5,,,,3
Pretty Woman (1990),,3.5,,,4,,4,2.5,3.5,5,,4.5,3,3.5,,3.5,,4,,2.5,3,,,,2
The Lord of the Rings: The Fellowship of the Ring (2001),,5,,4,5,,5,5,4,0.5,,3,4,,5,3.5,,3.5,4.5,4,4.5,2.5,,5,4
The Lord of the Rings: The Two Towers (2002),,5,4.5,4,5,,5,4.5,4,1,,4,5,,5,3,1,4,4.5,4,4.5,,,5,4
The Lord of the Rings: The Return of the King (2003),,5,,4,5,,5,5,4,0.5,,3,4,,5,3.5,,5,5,4.5,4.5,2.5,,4,4
O Brother Where Art Thou? (2000),,,,,,,,2,,,,,,,,4.5,,,4,2,,2.5,,,
Donnie Darko (2001),,3,,,,2.5,,2.5,4.5,,,,,4.5,3,,3.5,,4.5,2,4,,,4,
Crouching Tiger Hidden Dragon (Wo hu cang long) (2000),2.5,4,,,,3.5,5,5,2.5,0.5,3.5,,3.5,,,4.5,,3.5,3.5,4,,4,4,,4
Lost in Translation (2003),,4.5,,,,,4,5,3.5,4,,,,,3,4,,4,4.5,4,,,,4.5,1.5
The Dark Knight (2008),5,5,,5,5,4,,5,3.5,5,4,5,4,5,3,,4.5,5,4.5,4.5,4.5,3,4.5,5,3.5
Ocean's Eleven (2001),4,4.5,,,4,3.5,4,5,4,5,4.5,5,4.5,5,,3.5,3.5,3.5,4.5,2.5,4.5,3,4.5,3.5,4
Minority Report (2002),3,4.5,,4.5,3.5,,,5,2.5,4,,,2.5,,5,3.5,3,4,4,3,5,3,,3.5,4
Sin City (2005),,3,4,,,,,1.5,3.5,,,4.5,2.5,3,3,,3,1.5,4,4,4.5,,,,4.5
Amelie (2001),,5,,,,,,1,,5,,,,5,4,,4,3,4,5,2.5,4,4.5,4.5,
Braveheart (1995),,4,,,,4,5,4.5,4,,,1,4,,4,3.5,,4.5,,1.5,4.5,3,4,2.5,5
The Godfather (1972),,5,,,3,5,4,4.5,4.5,5,5,4,3,5,4,5,,,,3,4,5,5,5,5
High Fidelity (2000),,4,,,,,,2,,,,,,,,,,,3.5,2.5,,,,,
Batman (1989),,,,,2.5,,,5,2.5,5,4.5,4,3,,3,2.5,4,2.5,,2,4,,,,3.5
Batman Begins (2005),5,5,,4,4,3.5,,5,3.5,4,3,5,4,4,3,3.5,4.5,4,,4,4.5,,,4,3.5
The Silence of the Lambs (1991),,5,,,,4.5,4.5,4.5,4.5,5,,3,4,,4,4,4.5,1.5,,4.5,4.5,,4,4,5
Fargo (1996),,5,,,,,,4.5,4.5,5,,,,4.5,,5,,,,4,,5,,,
The Shawshank Redemption (1994),,5,4.5,5,3,,,1,5,3.5,5,,3.5,4.5,,,4,3,4.5,0.5,4.5,,5,4,
Terminator 2: Judgment Day (1991),3.5,3.5,4.5,,3.5,,4.5,4.5,3,5,4,,,,4,1.5,3.5,2.5,3.5,4,3.5,,,3,3
Jurassic Park (1993),4.5,5,,,3.5,4.5,5,5,4,5,4.5,,3,5,4,3.5,3.5,3,4,4,4.5,,,2,3
Kill Bill: Vol. 2 (2004),3,5,,4,3,3.5,,4.5,2.5,5,3.5,5,4,4,5,4.5,0.5,3,3.5,4.5,4,5,,5,3
Batman Forever (1995),1.5,3.5,,,2.5,1.5,,3,3.5,5,,4,3,,3,3,2,1.5,,4,4,,,,
Schindler's List (1993),2.5,4.5,,,,,5,5,5,5,4.5,4.5,3,,4,5,2.5,,,3.5,5,,,4.5,3
A Beautiful Mind (2001),4,4.5,5,4,3,,4.5,4.5,4,5,5,4,3,5,4,3.5,,,4.5,1,4.5,3,5,3.5,4
Erin Brockovich (2000),,2.5,,,3.5,,,1.5,4,2.5,3,,4,,,4.5,,,,3,4,3,,,3
Fight Club (1999),,5,,3.5,4.5,4,,4.5,4,5,3,4.5,3.5,5,4,3.5,4.5,,5,2,4.5,5,,,5
Spider-Man (2002),4,3,,,4,3,,5,3,5,4.5,3,4,3.5,3,2.5,1,3,,3.5,,,3.5,,1.5
Spider-Man 2 (2004),2.5,2,,,4,,4.5,4.5,3,4,4.5,3,3.5,,2,3,1,3.5,3.5,3,4.5,2.5,4,,1.5
Apollo 13 (1995),3.5,5,,,,4.5,5,5,4.5,5,,4,4,,4,4,,4,3.5,1.5,5,,,,3
Dances with Wolves (1990),,,,,,2.5,4,5,4.5,4,,2,,,,4.5,,4,,2.5,,,,,3
Monsters Inc. (2001),,5,5,,3.5,4,5,1,3.5,,,3.5,,5,,,3.5,4,4,3.5,,,,,5
Titanic (1997),4,4,4.5,,2,3.5,3.5,3,4,5,3.5,4.5,4,,4,4.5,,3,3.5,3.5,4.5,3,5,,4
E.T. the Extra-Terrestrial (1982),,4.5,,,3,,4.5,1.5,4,5,,,3.5,5,,4.5,2,3.5,3.5,3,4.5,,,,0.5
Independence Day (a.k.a. ID4) (1996),4,4.5,,,3,2.5,3.5,,3.5,5,,4.5,4,4,4,3,1.5,3,3.5,1.5,3.5,,,2,3
The Matrix (1999),4.5,5,5,5,5,4,5,5,3.5,3.5,4,,4,4.5,5,3.5,5,4,4.5,4.5,4,3,5,4.5,4
The Matrix Reloaded (2003),4,4,4.5,5,2.5,2.5,5,5,4,3,4,,2.5,3.5,5,4,3,2,3,2.5,5,3,4,1.5,3.5
Men in Black (a.k.a. MIB) (1997),3,4.5,5,3,4,3,4.5,1.5,3.5,5,3.5,4,2.5,3,2,3,4.5,4,3.5,2,4.5,,4,4.5,2.5
The Usual Suspects (1995),,4,5,,,4,4.5,2.5,4.5,5,4,,4,,,,,,3.5,4,5,,,5,3
Catch Me If You Can (2002),3.5,4.5,,3,4,4,,5,3.5,5,,5,4.5,,,4,4,,4,3,3.5,,,,
Requiem for a Dream (2000),,4.5,,,,3,,3,,5,,,,5,5,,3.5,,,2.5,4,4,,,
Twister (1996),,4,,,,2.5,4.5,3,4,2.5,,,3,,,3.5,,4.5,3.5,0.5,,,,,
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),,4,5,4,4,3,,5,3.5,0.5,4,4.5,5,,4,3,,3.5,2,0.5,5,3,,,
Harry Potter and the Chamber of Secrets (2002),3,3.5,5,3,4.5,3.5,,5,3,0.5,4.5,4,5,4,3,4,0.5,3,2,0.5,2.5,,,,
Pulp Fiction (1994),,4,,3,5,5,4.5,1,4.5,5,3.5,4,4.5,5,5,4.5,3,3,4.5,4.5,3.5,5,,4,3
The Sixth Sense (1999),,4,,,4,4,,3,4.5,5,,3.5,3,,4,3.5,4,4,,3,,,,3,4.5
V for Vendetta (2006),,4,5,4,5,4,4.5,2,3.5,3.5,3,2.5,3,4.5,3,,4.5,,,4.5,3.5,2.5,,3.5,3.5
Almost Famous (2000),,3.5,,,,,,5,4,,,1.5,2.5,,,,,,,3,5,,,,
Mrs. Doubtfire (1993),,5,,,2.5,4,,2,3.5,5,,3,4,,,3.5,,2.5,3.5,2,,,,1.5,2
Seven (a.k.a. Se7en) (1995),,5,5,4,,4.5,,1,4.5,5,,,4,,3,,5,,,4.5,,2,5,4,4.5
Shrek (2001),,4.5,5,3,5,4,5,5,3.5,1.5,4.5,3,5,3.5,3,4.5,2,3.5,3.5,3,3,,4,4,4
Shrek 2 (2004),,4,5,4,3.5,3.5,5,4.5,3.5,,4.5,3,4,,3,4,1.5,1.5,,3,,,3.5,,3.5
Aladdin (1992),,5,,2.5,3,3,,1.5,3.5,3,,4,3,,,3.5,,2.5,3.5,2,5,,4,,
The Mask (1994),,2.5,,,3.5,3,4.5,2,3,4,,2,,,1,2.5,2.5,2.5,4,2.5,4.5,,5,3.5,2.5
Saving Private Ryan (1998),,4,,,3.5,5,4.5,4.5,4.5,3.5,5,3.5,5,5,2,4,2,,,3.5,4,5,4,3,3.5
Toy Story (1995),4,5,5,,3,4,3.5,5,4.5,4,4,,,4.5,,4.5,5,4,3.5,3.5,,3,,,3
Mission: Impossible (1996),4.5,4,4,,,,4.5,4.5,3.5,3.5,3.5,,,,4,2.5,2,4,4,2.5,4,,4,2,4
Mission: Impossible II (2000),4,3.5,4,,,,4,4.5,3,5,4.5,,3.5,,4,3,,3,3.5,2,4,,4,2.5,3.5
The Departed (2006),,5,,3.5,3,4,,5,4,5,3.5,5,5,,4,,5,,,2,5,4.5,4,,
Die Hard: With a Vengeance (1995),,,,,5,,,2,3,3,4,,4,,4,3.5,5,5,4,3.5,5,2,,,3.5
Meet the Parents (2000),,2,,,3.5,3.5,5,1,3,5,,4,4,,,3,,,4,2,,,,,2
Speed (1994),,3,,,2,,4,4.5,2.5,3,4,,3.5,,,3,,4.5,3.5,2,4.5,,,,3
Star Wars: Episode V - The Empire Strikes Back (1980),,4.5,5,4,4.5,4,,5,4,5,,4,,4,3,3.5,1,5,4.5,4.5,4.5,,,,
Star Wars: Episode VI - Return of the Jedi (1983),,4.5,5,4.5,4,3,,4.5,4,5,,4,,4,3,3,,3.5,4.5,4,2.5,,,,
Star Wars: Episode II - Attack of the Clones (2002),3,2.5,5,4,3.5,,,4.5,3.5,5,,5,,3,3,4,,1.5,3,3,,,,,
Traffic (2000),,1,,,,,,5,4,3.5,,,3,,3,3.5,,,,3,4,,,4.5,
The Patriot (2000),,,,,,4,4.5,0.5,3,1,,,4.5,,3,4,,2.5,,0.5,5,3,,,3
Stargate (1994),,,,,,,,1.5,3.5,,,,,,5,3,,4,,3,,,,3,2.5
The Bourne Identity (2002),,4.5,,,3.5,,5,2,4,,4,,4,4,5,4,0.5,3.5,4,4,2.5,4,,,4
The Bourne Supremacy (2004),,4,,,4,,5,5,3.5,,3.5,,4,,5,3.5,0.5,3.5,4,3,4,4,,,4.5
Ace Ventura: Pet Detective (1994),,3,4,,2.5,3.5,5,1,3.5,5,,2.5,4,,1,,1,1,,0.5,,,3,,1
Charlie's Angels (2000),,1.5,,,3,,,1,2.5,5,3,5,4,,,2,,1,3.5,1,4,,,,2.5
The Fugitive (1993),,4,,,,,4,1,3.5,3.5,,4,3,,,,,4,,2.5,3,,,2,4
Chicken Run (2000),,1,,,,,4,2.5,3,,,,,,3,3,3,,3.5,2.5,,2.5,,,3
Cast Away (2000),,4,,,,,,2.5,4.5,,5,4,4,5,3,3.5,,,,2.5,,4,,,4
Dumb & Dumber (1994),,1,,,1,4,4.5,2,4,5,,4,,,,1.5,0.5,,4,0.5,4,,,,0.5
The Lion King (1994),4,5,5,3.5,4,4,,5,4.5,4,4.5,4.5,4,,3,5,4,4,,0.5,3,3,4.5,,
Clear and Present Danger (1994),,,,,,,,2.5,3.5,3.5,,,3.5,,,,,3,,0.5,,,,,
Unbreakable (2000),,,,,,,,3.5,3.5,,,,2.5,,,,,,,3,3,,,,
The Rock (1996),5,,,,,3.5,4,5,2.5,3,4.5,,3.5,,2,3,,3.5,,2.5,5,,,,4
The Incredibles (2004),3.5,5,3.5,,3,3.5,4.5,5,3.5,4,,4.5,4,,,3.5,0.5,5,3.5,3,,,4.5,,3.5
Beauty and the Beast (1991),3,5,,,4,3.5,,2,4,3,,4,3,,,4,,4,2,2.5,,,4,,
X-Men (2000),,4.5,,,4,,4.5,5,4,5,,4,3.5,,4,3.5,,3,4,3.5,,,,3,4
X2: X-Men United (2003),3.5,4,,,3.5,,4.5,4.5,4,5,,4.5,3.5,,4,3.5,,2,,3,4,,3.5,,4
True Lies (1994),,,,,3,3.5,4,1.5,3,2,,,4,,,,,4,,1.5,4,,,,
